cod;descricao;chave
1;PROPOFOL 10MG/ML - 20ML - FRASCO/AMPOLA;13775
3;PROPOFOL 10 MG/ML EMULSÃO INJETÃVEL 20 ML;13775
3;PROPOFOL 10 MG/ML EMULSÃO INTRAVENOSA 20 ML;13775
3;PROPOFOL 10MG/ML 20ML (C1) FRASCO;13775
1;PROPOFOL 10MG/ML - UNIAO QUIM;13775
1;PROPOFOL 10MG/ML 20ML;13775
3;PROPOFOL (MAYOPROFOL) 10MG/ML, 1%, 1FA, 20ML, IV, ESTERIL, P344/98, C1;13775
3;PROPOFOL 10MG/ML (C1) 5 AMPOLAS 20ML;13775
3;PROPOFOL 10MG/ML 20ML (C1) (PROVIVE);13775
3;PROPOFOL 10MG/ML 20ML C/5AMP AD/PED IV;13775
3;PROPOFOL FRESENIUS KABI 10MG/ML, CAIXA COM 5 AMPOLAS COM 20ML;13775
1;PROPOFOL 10MG/ML 20ML (UNIAO Q/CLARIS);13775
1;PROPOFOL 10MG/ML 20ML - UNIAO QUIM;13775
1;PROPOFOL 10MG/ML 20ML FA;13775
1;PROPOFOL 10MG/ML 20ML FA (ITEM: );13775
1;PROPOFOL 10MG/ML 20ML P 344 C1 UNIAO QUIMICA;13775
1;PROPOFOL 10MG/ML 20ML P344 C1 PROPOVAN UNIAO QUIMICA;13775
3;PROPOFOL (PROPOVAN) 10MG/ML (C1) 20ML;13775
3;PROPOFOL 10MG/ML 20ML (C1) (PROPOVAN);13775
1;PROPOFOL 10MG/ML 20ML P344 C1 UNIAO QUIMICA;13775
1;PROPOFOL 10MG/ML AMP 20ML UNIAO QUIMICA;13775
1;PROPOFOL 10MG/ML CX 5AMP 20ML (C1)   PROVIVE;13775
1;PROPOFOL 10MG/ML CX 5FA 20ML (C1)   PROVIVE;13775
1;PROPOFOL 10MG/ML FA (ITEM: );13775
3;PROPOFOL 10MG/ML (C1) 5 AMPOLAS;13775
1;PROPOFOL 10MG, INJETAVEL, 20ML;13775
1;PROPOFOL 10MG/ML - 20ML;13775
1;PROPOFOL 200MG/20ML AMP;13775
1;PROPOFOL 200MG/20ML AMP - UNIAO QUIM;13775
1;PROPOFOL 20ML 5FR - PROVIVE CX C  5 FA CX C  5 FA PROVIVE U QUIMICA;13775
1;PROPOFOL(PROVIVE)10MG/ML INJ 5FA 20ML*HS UNIAO (C1);13775
3;PROVIVE 1% (PROPOFOL) 10MG/ML, 5FA 20ML, IV, P344/98 C1, AD/PED;13775
1;PROVIVE (PROPOFOL) *C1* 10MG/ML INJ IV CX C/5 FA 20ML;13775
3;PROVIVE 10MG/ML, CAIXA COM 5 FRASCO AMPOLAS COM 20ML DE;13775
1;PROVIVE -1% 10MG/ML CX 5 AMP 20 ML;13775
1;PROVIVE 1% 10 MG/ML IV AMP (C1) PROPOFOL (C1);13775
1;PROVIVE 1% 10 MG/ML IV C/5 AMP (C1) PROPOFOL (C1);13775
1;PROVIVE 1% 10MG/ML CX 5 FR-AMP;13775
3;PROVIVE 10MG/ML, CAIXA COM 1 FRASCO;13775
3;PROVIVE 10MG/ML, CAIXA COM 5 FRASCO;13775
1;PROVIVE 1% 10MG/ML CX 5 FR-AMP X 20ML IV;13775
1;PROVIVE 1% PROPOFOL 20ML 5UN (C1);13775
1;PROVIVE 10 MG/ML CX C/5FR 20ML (C1);13775
1;PROVIVE 10MG/ML 020MLX5(C1)(P);13775
1;PROVIVE 10MG/ML 20ML;13775
3;PROVIVE 10MG/ML AMPOLA COM 20ML;13775
3;PROVIVE 10 MG/ML EMULSÃO INJETÃVEL 20 ML;13775
3;PROVIVE 10MG/ML, CAIXA COM 5 FRASCO AMPOLAS COM 20ML;13775
1;PROVIVE 10MG/ML 20ML FA;13775
3;PROVIVE 10MG/ML EMU INJ 5 FA X 20ML;13775
3;PROVIVE 10MG/ML EMUL INJ 5FA X 20ML CLARIS FA;13775
1;PROVIVE 10MG/ML 5FA 20ML (PROPOFOL)(C1);13775
1;PROVIVE EMU INJ P344/98C1 CX C/5FR X20ML;13775
1;PROVIVE HOSP 10MG/ML 5X20ML;13775
1;PROVIVE-1% 10MG/ML CX 5 AMP 20 ML;13775
1;PROPOFOL 10MG/ML SOL. INJ. 20ML;13775
3;PROPOFOL 10 MG/ML EMU INJ CT 5 AMP VD INC X 20 ML BLAU;13775
1;PROPOFOL 10MG/ML EMULSAO INJETAVEL IV AMPOLA 20ML - UNIAO QUIM;13775
1;PROPOFOL 10MG/ML 10ML P344 C1 PROVIVE UNIAO QUIMICA;13774
3;PROPOFOL 10MG/ML 10ML (C1) (PROVIVE 1%) UNIAO QUIMICA;13774
1;PROPOFOL 10MG/ML C/5 X10ML AMP PROVIVE UNIAO (C1);13774
1;LOSARTANA POTASSICA 25MG C30 -;10784
1;TORLOS 25MG C/30 COMP;10784
3;"RESULTADOS PARA ""TORLOS 25MG COM 30 COMPRIMIDOS""";10784
3;TORLOS 25MG C 30 COMP;10784
3;TORLOS 25MG C/30 COMP;10784
3;TORLOS 25MG C/30COMP REV;10784
3;TORLOS 25MG COM 30 COMPRIMIDOS;10784
3;TORLÃS 25MG COM 30 COMPRIMIDOS;10784
1;TORLOS 25MG C/30 COMP REV-SIMILAR;10784
3;DOZOITO SUCCINATO DE METOPROLOL 25MG 30 COMPRIMIDOS;10784
1;TORLOS 25MG CPR 1X30-SIMILAR;10784
1;NEBLOCK 5MG 60CPR NEBIVOLOL;5438
3;NEBLOCK 5MG 60CPR NO CLIQUEFARMA, PREÃO E;5438
3;NEBLOCK 5MG 60 COMPRIMIDOS;5438
3;NEBLOCK 5MG 60CPR;5438
3;NEBLOCK CLORIDRATO DE NEBIVOLOL 5MG 60 COMPRIMIDOS;5438
1;OLMESARTANA MEDOXOMILA 20MG/OLMECOR CX 60 COMP;12365
1;NEBLOCK 5MG CX 30 COMP;5437
3;NEBLOCK 5MG, CAIXA COM 30 COMPRIMIDOS;5437
3;NEBLOCK 5 MG 30 COMPRIMIDOS;5437
3;NEBLOCK 5MG 30 COMPRIMIDOS;5437
3;NEBLOCK 5MG CAIXA COM 30 COMPRIMIDOS;5437
3;NEBLOCK 5MG, CAIXA COM 30 COMPRIMIDOS;5437
3;NEBLOCK CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS;5437
1;CLORID NEBIVOLOL 5MG 30CPR TORRENT;5437
3;CLORID NEBIVOLOL 5MG 30CPR TORRENT GEN;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS TORRENT GENÃRICO;5437
3;CLORIDRATO NEBIVOLOL 5MG 30 COMPRIMIDOS TORRENT;5437
3;NEBIVOLOL 5MG C/ 30 COMPRIMIDOS GENÃRICO TORRENT;5437
3;NEBIVOLOL TORRENT 5MG COM 30 COMPRIMIDOS;5437
1;CLORID NEBIVOLOL 5MG C/30;5437
3;CLORIDRATO DE NEBIVOLOL BIOLAB GENÃRICOS 5MG, CAIXA COM 30;5437
1;CLORID.NEBIVOLOL 5MG 30CPR;5437
3;BIVOLET CLORIDRATO DE NEBIVOLOL 5MG COM 30 COMPRIMIDOS;5437
3;TEUTO 5MG CAIXA COM 30 COMPRIMIDOS;5437
3;CLORIDRATO NEBIVOLOL 5MG 30 COMPRIMIDOS;5437
3;NEBIVOLOL 5MG C/ 30 COMPRIMIDOS GENÃRICO BIOLAB;5437
1;CLORID.NEBIVOLOL 5MG C/30;5437
1;CLORID.NEBIVOLOL 5MG CX 30 COMP;5437
3;TEUTO 5MG CX 30 COMP;5437
3;TORRENT 5MG CAIXA COM 30 COMPRIMIDOS;5437
1;CLORIDRATO DE NEBIVOLOL 5MG C/30 COMP/TORRENT;5437
3;CLORIDRATO DE NEBIVOLOL TORRENT 5MG CAIXA COM 30 COMPRIMIDOS;5437
3;CLORIDRATO DE NEBIVOLOL 5MG TORRENT 30 COMPRIMIDOS;5437
3;CLORIDRATO DE NEBIVOLOL 5MG TORRENT COM 30 COMPRIMIDOS;5437
1;OLMESARTANA 20MG C/ 30 COMP TOR-GENERICO;12362
3;OLMESARTANA 20MG 30CP;12362
3;OLMESARTANA 20MG C/ 30 CPR GENÃRICO TORRENT;12362
3;OLMESARTANA MEDOXOMILA 20 MG TORRENT GENERICOS 30 COMPRIMIDOS;12362
3;OLMESARTANA MEDOXOMILA 20MG 30 COMPRIMIDOS TORRENT GENÃRICO;12362
1;OLMESARTANA OLMECOR 20MG COMP/TORRENT;12362
1;OLMECOR 20MG CPR REV 1X30-SIMILAR;12364
1;OLMESARTANA 40MG  C/30;12372
1;OLMECOR 40 MG C  30 COMP REV;12374
3;O MELHOR PREÃO DE OLMECOR 40 MG COM 30 COMPRIMIDOS;12374
3;OLMECOR 40 MG C/ 30 COMP REV;12374
3;OLMECOR 40MG 30 COMPRIMIDOS;12374
3;OLMECOR 40MG 30 COMPRIMIDOS TORRENT;12374
3;OLMECOR 40MG COM 30 COMPRIMIDOS REVESTIDOS;12374
3;OLMECOR 40MG TORRENT 30 COMPRIMIDOS;12374
3;OLMECOR 40MG TORRENT 30 COMPRIMIDOS REVESTIDOS;12374
3;OLMECOR OLMESARTANA MEDOXOMILA 40MG 30 COMPRIMIDOS;12374
1;OLMECOR 40 MG C/ 30 COMP REV-SIMILAR;12374
3;OLMECOR 40MG, CAIXA COM 30 COMPRIMIDOS REVESTIDOS;12374
3;OLMECOR 40 MG COM 30 COMPRIMIDOS NO CLIQUEFARMA;12374
1;OLMECOR 40MG C/ 30 COMP;12374
3;OLMECOR 40MG 30 COMPRIMIDOS REVESTIDOS;12374
3;OLMECOR 40MG COM 30 COMPRIMIDOS;12374
1;OLMECOR 40MG C/30 COMP REV-SIMILAR;12374
3;O MELHOR PREÃO DE OLMECOR 40MG COM 30 COMPRIMIDOS;12374
1;OLMECOR 40MG C/30 CPR;12374
